tick,positive Demand [MW],negative Demand [MW],positive Call-Off [MW],negative Call-Off [MW]
1093,0,0,625,1
1094,0,0,345,1
1095,0,0,255,7
1096,0,0,36,9
1097,0,0,9,36
1098,0,0,28,7
1099,0,0,127,6
1100,0,0,299,2
1101,0,0,422,1
1102,0,0,102,6
1103,0,0,146,12
1104,4155,4332,20,98
1105,0,0,1,223
1106,0,0,6,40
1107,0,0,32,37
1108,0,0,3,195
1109,0,0,3,174
1110,0,0,6,173
1111,0,0,1,387
1112,0,0,5,172
1113,0,0,30,51
1114,0,0,22,28
1115,0,0,2,60
1116,0,0,30,42
1117,0,0,5,32
1118,0,0,10,35
1119,0,0,6,19
1120,4155,4332,4,134
1121,0,0,3,302
1122,0,0,31,213
1123,0,0,246,2
1124,0,0,375,7
1125,0,0,1034,1
1126,0,0,778,1
1127,0,0,715,1
1128,0,0,432,9
1129,0,0,152,4
1130,0,0,32,13
1131,0,0,24,11
1132,0,0,406,4
1133,0,0,345,21
1134,0,0,180,16
1135,0,0,71,34
1136,4155,4332,219,28
1137,0,0,258,8
1138,0,0,115,7
1139,0,0,29,9
1140,0,0,274,5
1141,0,0,32,20
1142,0,0,9,60
1143,0,0,7,148
1144,0,0,104,34
1145,0,0,30,57
1146,0,0,12,229
1147,0,0,1,238
1148,0,0,42,115
1149,0,0,68,105
1150,0,0,33,38
1151,0,0,5,301
1152,4155,4332,55,164
1153,0,0,57,36
1154,0,0,9,49
1155,0,0,33,64
1156,0,0,5,204
1157,0,0,2,109
1158,0,0,5,190
1159,0,0,1,394
1160,0,0,39,57
1161,0,0,16,25
1162,0,0,7,72
1163,0,0,7,47
1164,0,0,6,46
1165,0,0,2,108
1166,0,0,4,105
1167,0,0,1,155
1168,4155,4332,154,10
1169,0,0,23,13
1170,0,0,25,8
1171,0,0,72,9
1172,0,0,244,9
1173,0,0,17,77
1174,0,0,170,58
1175,0,0,217,17
1176,0,0,68,41
1177,0,0,329,3
1178,0,0,359,3
1179,0,0,452,2
1180,0,0,620,87
1181,0,0,412,66
1182,0,0,365,61
1183,0,0,214,10
1184,4155,4332,427,3
1185,0,0,485,2
1186,0,0,341,5
1187,0,0,325,4
1188,0,0,86,83
1189,0,0,18,44
1190,0,0,50,5
1191,0,0,59,13
1192,0,0,19,54
1193,0,0,6,59
1194,0,0,4,92
1195,0,0,27,7
1196,0,0,394,2
1197,0,0,526,4
1198,0,0,341,4
1199,0,0,166,15
1200,4155,4332,27,136
1201,0,0,5,166
1202,0,0,18,69
1203,0,0,17,22
1204,0,0,247,4
1205,0,0,178,4
1206,0,0,29,27
1207,0,0,4,164
1208,0,0,9,223
1209,0,0,9,20
1210,0,0,211,5
1211,0,0,261,3
1212,0,0,456,2
1213,0,0,354,8
1214,0,0,144,3
1215,0,0,49,4
1216,4155,4332,8,185
1217,0,0,13,156
1218,0,0,140,27
1219,0,0,366,4
1220,0,0,273,4
1221,0,0,274,2
1222,0,0,158,3
1223,0,0,445,4
1224,0,0,332,5
1225,0,0,134,6
1226,0,0,111,4
1227,0,0,42,24
1228,0,0,359,6
1229,0,0,251,3
1230,0,0,325,4
1231,0,0,163,6
1232,4155,4332,315,8
1233,0,0,159,9
1234,0,0,59,23
1235,0,0,96,8
1236,0,0,508,3
1237,0,0,323,7
1238,0,0,126,26
1239,0,0,40,60
1240,0,0,13,119
1241,0,0,19,194
1242,0,0,3,235
1243,0,0,32,168
1244,0,0,374,66
1245,0,0,106,34
1246,0,0,148,18
1247,0,0,18,44
1248,4155,4332,96,82
1249,0,0,5,133
1250,0,0,1,285
1251,0,0,1,455
1252,0,0,322,109
1253,0,0,228,3
1254,0,0,320,3
1255,0,0,288,3
1256,0,0,359,2
1257,0,0,419,2
1258,0,0,268,5
1259,0,0,51,33
1260,0,0,141,5
1261,0,0,34,37
1262,0,0,167,21
1263,0,0,184,3
1264,4155,4332,110,9
1265,0,0,96,4
1266,0,0,220,4
1267,0,0,156,5
1268,0,0,110,24
1269,0,0,12,46
1270,0,0,47,37
1271,0,0,7,44
1272,0,0,4,224
1273,0,0,39,123
1274,0,0,112,16
1275,0,0,36,53
1276,0,0,40,143
1277,0,0,27,16
1278,0,0,133,36
1279,0,0,168,5
1280,4155,4332,282,13
1281,0,0,168,6
1282,0,0,164,13
1283,0,0,147,27
1284,0,0,54,55
