name,bus0,bus1,x,r,s_nom
65,177,178,1.473158558,0.271613609,490
66,105,62,3.852076322,0.710226572,490
67,184,179,7.748050572,1.428546824,490
68,179,183,19.23272498,3.546033667,490
69,191,183,14.15402447,1.63315667,1700
70,103,186,2.119363045,0.390757562,490
71,185,107,2.809457905,0.517993801,490
72,108,107,3.943603831,0.727101956,490
74,186,445,1.733623662,0.200033499,1700
75,170,21,14.2435232,1.643483446,1700
76,166,21,9.833896049,1.134680313,1700
77,32,264,1.95900343,0.361191257,490
78,32,77,15.16629051,2.796284812,490
79,77,250,9.262627367,1.707796921,490
80,77,76,10.45143072,1.926982538,490
81,22,26,6.789481579,1.251810666,490
82,24,237,16.00198984,2.950366878,490
83,24,140,12.75836399,2.352323362,490
84,25,26,1.95858682,0.361114445,490
85,235,242,24.68548639,2.848325353,1700
86,235,27,9.898523875,1.14213737,1700
87,242,27,16.84885026,1.944098107,1700
88,188,189,2.822095542,0.325626409,1700
89,256,247,19.69852479,3.631915508,490
90,270,196,44.33582116,8.174417027,490
91,30,253,2.328984012,0.429406427,490
92,198,199,14.35190099,2.646131744,490
93,196,200,12.29110595,1.418204533,1700
94,196,247,17.15884599,3.16366223,490
95,199,196,11.22591224,2.069777569,490
96,200,249,14.53876836,1.677550195,1700
97,196,249,16.8883802,1.948659254,1700
98,197,200,5.210755942,0.60124107,1700
99,188,190,16.32280254,1.883400293,1700
100,249,243,21.33287502,3.933248832,490
101,264,244,39.65511557,4.575590258,1700
102,33,244,0.399710415,0.046120432,1700
103,33,242,6.524583933,1.202970163,490
104,245,242,9.886754519,1.822870364,490
105,245,243,13.75830062,2.536686677,490
106,33,243,17.08735199,3.150480522,490
107,264,283,53.06010395,6.122319687,1700
108,40,283,7.116598717,0.821146006,1700
109,270,253,27.66809562,5.101305129,490
110,269,256,12.6122391,2.325381584,490
111,258,256,4.217791542,0.777655316,490
112,269,270,4.537251509,0.836555747,490
113,297,270,25.67935788,2.963002832,1700
114,262,259,3.102044521,0.571939459,490
115,256,257,4.446888925,0.513102568,1700
116,59,256,8.7669369,1.616403991,490
117,34,260,6.726197844,1.240142727,490
118,264,259,21.39034685,3.943845201,490
119,264,260,12.25334806,2.259211048,490
121,145,17,3.427168615,0.395442532,1700
122,37,211,14.94046179,1.723899438,1700
123,392,202,12.11869682,1.398311172,1700
124,148,392,28.85522063,3.329448534,1700
125,148,202,20.70281296,3.817081139,490
126,35,13,13.54183838,2.496776451,490
127,66,392,18.19792524,2.099760605,1700
128,120,65,7.89645135,0.911129002,1700
129,37,209,29.72095681,3.429341171,1700
130,208,212,14.09767457,1.626654758,1700
131,215,208,22.46145783,2.591706673,1700
132,215,203,10.95923829,2.02060956,490
133,215,213,1.009708184,0.186164947,490
134,216,215,3.893621331,0.717886433,490
135,378,38,2.71913172,0.501339911,490
136,381,38,9.378364185,1.729135897,490
137,38,377,0.462140164,0.085207093,490
138,379,378,2.148464243,0.396123095,490
139,395,394,8.286712524,0.956159137,1700
140,218,221,11.50800394,2.121788227,490
141,218,223,5.879692334,1.084068274,490
142,127,226,22.22557413,2.564489322,1700
143,217,127,7.540586603,0.870067685,1700
144,220,225,22.53830104,2.600573196,1700
145,384,379,8.755440036,1.010243081,1700
146,390,391,10.56943133,1.948738902,490
147,386,217,18.90891747,2.18179817,1700
148,64,413,7.2095959,1.329269244,490
149,63,426,1.469692073,0.270974476,490
150,64,426,2.301206585,0.424284964,490
151,134,455,17.25611548,1.991090248,1700
152,399,134,24.96373361,2.880430802,1700
153,398,399,3.967366107,0.457773012,1700
154,401,402,12.397344,2.2857603,490
155,400,402,18.76048491,3.458964406,490
156,126,405,8.453557252,1.558624618,490
157,405,404,8.273787568,0.954667796,1700
158,288,284,29.47847663,3.401362688,1700
159,268,284,23.60888883,4.352888878,490
160,80,283,2.626829629,0.303095726,1700
161,268,80,20.76722158,2.396217874,1700
162,283,284,9.404589388,1.733971168,490
163,283,45,2.883500376,0.531645382,490
164,283,45,2.374784359,0.27401358,1700
166,285,284,0.323264674,0.059601924,490
167,42,45,21.08022079,2.432333168,1700
168,43,279,9.416191332,1.086483615,1700
169,277,275,5.888924797,0.679491323,1700
170,75,270,16.39262191,1.891456375,1700
171,270,288,39.63836147,7.308322897,490
172,265,264,9.498349244,1.751258142,490
173,169,102,0.639985136,0.073844439,1700
174,235,144,15.26613896,1.761477572,1700
175,287,284,24.90367545,4.591615162,490
176,267,131,15.1974869,2.802036646,490
177,266,131,6.874377045,1.267463268,490
178,42,279,9.453560992,1.090795499,1700
179,291,256,33.54010809,6.18395743,490
180,46,47,3.432874673,0.396100924,1700
181,46,275,1.987195259,0.229291761,1700
182,47,275,5.394389109,0.622429513,1700
183,275,273,10.04789967,1.159373039,1700
184,301,48,21.29418414,2.457021247,1700
185,300,299,13.67183025,2.520743702,490
186,300,299,16.23594798,2.99350291,490
187,301,300,9.769290984,1.801213025,490
188,49,298,12.13812501,2.237966799,490
189,296,295,8.027693226,0.926272295,1700
190,297,299,6.391620106,1.178454957,490
191,463,294,10.34146587,1.193246061,1700
192,291,293,15.02417609,2.770082466,490
193,297,293,13.08123747,2.411853159,490
194,50,297,50.33518806,9.280550299,490
195,289,50,29.37474872,5.415969295,490
196,50,290,20.45081069,2.359708926,1700
197,182,183,19.6087693,2.262550304,1700
198,181,449,15.63778539,1.804359852,1700
199,195,192,12.16566818,1.403730944,1700
200,192,194,5.226860242,0.603099259,1700
201,192,72,7.105221867,1.310025282,490
202,73,196,5.397151782,0.622748283,1700
203,192,73,1.158363945,0.133657378,1700
204,231,192,30.20772315,3.485506517,1700
205,322,232,29.11837704,5.368700767,490
206,322,231,22.99487298,2.653254575,1700
207,231,246,24.03664032,2.773458498,1700
208,326,231,12.93935347,1.493002324,1700
209,327,81,9.533870403,1.10006197,2100
210,232,81,9.928906309,1.145643036,2100
211,326,329,11.30249156,1.304133641,2100
212,324,329,21.07215736,2.431402772,1700
213,322,329,26.74481449,3.085940133,1700
214,324,322,7.13991776,0.823836665,1700
215,328,329,12.85711834,1.483513655,1700
216,328,321,42.05149571,7.753244522,490
217,129,319,6.104670908,0.704385105,1700
218,321,129,23.34622052,2.693794676,1700
219,322,312,26.14616228,3.016864878,1700
220,311,312,12.78953614,2.358070725,490
221,306,310,11.47138748,1.323621632,1700
222,319,315,27.61407806,5.091345643,490
223,319,54,15.67289705,2.889690393,490
224,315,54,13.64674566,2.516118732,490
225,316,54,25.00999792,4.611218367,490
226,318,54,3.72305421,0.68643812,490
228,358,368,33.95927588,3.918377986,1700
229,358,337,44.03803603,5.08131185,1700
230,358,135,14.16573341,1.634507701,1700
231,358,350,23.23359242,2.680799125,1700
232,341,335,42.14194942,7.769921924,490
233,346,341,8.289960909,1.528461543,490
234,228,180,15.20824735,1.754797771,1700
235,334,333,7.606046988,0.877620806,1700
236,334,332,14.47548839,1.670248661,1700
237,339,346,21.58639175,3.979990978,490
238,348,346,16.42673884,3.028679973,490
239,348,339,31.56930393,5.820590413,490
240,332,339,11.84910651,1.367204597,1700
241,342,348,11.42466909,1.318231048,1700
242,348,343,8.09765733,0.934345076,1700
243,352,351,9.552461941,1.102207147,1700
244,352,348,31.32172238,3.61404489,1700
245,337,338,13.21086381,1.52433044,1700
246,135,338,28.46219924,3.284099912,1700
247,357,362,32.67621728,3.770332763,1700
248,356,362,24.68048209,2.847747934,1700
249,368,365,18.27700001,2.108884616,1700
250,358,365,16.22551996,1.87217538,1700
251,359,360,19.81185214,3.652810238,490
252,362,360,32.14947709,5.927559839,490
253,417,362,56.29637314,6.495735362,1700
254,375,368,27.0655008,3.1229424,1700
255,366,368,8.887189907,1.638575639,490
256,386,387,6.71961944,0.775340705,1700
257,134,413,8.453112051,0.975359083,1700
258,431,427,16.64474194,3.068874294,490
259,429,431,7.038503834,1.297724144,490
260,429,427,15.79093447,2.911453543,490
261,436,435,7.956742351,1.467024371,490
262,434,435,6.228195345,1.148323517,490
263,139,420,12.26685903,1.415406811,1700
264,416,139,6.423512255,0.741174491,1700
265,419,417,14.64507492,1.689816336,1700
266,138,420,26.53347925,3.061555298,1700
267,229,138,8.609636637,0.993419612,1700
268,130,419,50.94522791,5.878295528,1700
269,23,26,10.40458164,1.200528651,1700
270,39,268,7.684277739,0.886647431,1700
271,353,5,4.211374969,0.485927881,1700
272,436,2,27.4738626,3.170061069,1700
273,44,277,0.728852599,0.084098377,1700
274,161,163,9.894394338,1.824278956,490
275,328,325,22.98490025,2.652103875,1700
276,145,392,30.07414213,3.470093323,1700
277,82,89,2.788567643,0.514142159,490
278,386,391,20.6127199,2.378390757,1700
279,328,329,15.78959956,2.911207419,490
280,405,404,10.23492089,1.887063539,490
281,270,269,3.483057631,0.401891265,1700
282,254,256,12.51033105,1.443499736,1700
283,309,310,1.481618589,0.170955991,1700
284,259,74,10.29612553,1.188014485,1700
285,301,48,26.17168893,4.825405146,490
286,168,186,3.41439748,0.39396894,1700
287,309,311,10.53145846,1.941737653,490
288,207,391,16.08990757,1.856527797,1700
289,235,237,8.491876348,1.565689702,490
290,386,385,14.32886364,2.641884233,490
291,288,75,15.79728075,1.822763164,1700
292,257,258,1.431258837,0.263888348,490
293,156,19,1.477920983,0.272491681,490
294,249,242,32.69080803,3.772016312,1700
295,164,171,4.936506819,0.569596941,1700
296,149,86,3.210170507,0.370404289,1700
297,322,313,29.797698,5.493950568,490
298,32,250,23.71558546,4.372561069,490
299,259,74,11.94670645,2.202674002,490
300,163,173,5.889253091,0.679529203,1700
301,163,165,0.882033631,0.101773111,1700
303,291,292,5.304343036,0.612039581,1700
304,45,284,6.033487055,0.696171583,1700
305,111,186,7.941924877,1.464292399,490
306,301,299,19.07514662,2.200978456,1700
307,197,190,14.8154124,1.709470662,1700
308,393,391,27.44547562,3.166785648,1700
309,285,45,7.315437681,1.348783822,490
310,52,325,17.05576058,1.967972375,1700
311,329,332,14.63884373,1.689097354,2300
312,132,211,7.686479666,0.8869015,1700
313,102,141,2.199552901,0.253794566,1700
314,392,393,12.21766264,1.409730304,1700
315,275,274,3.38551428,0.390636263,1700
316,210,37,17.51961428,2.021493955,1700
317,333,180,33.81044945,3.901205706,1700
318,44,275,5.158491434,0.59521055,1700
