,demand
2099,53404
2100,53092
2101,52384
2102,51936
2103,51512
2104,51796
2105,51592
2106,51256
2107,50640
2108,49872
2109,49284
2110,48360
2111,47752
2112,47164
2113,46528
2114,46412
2115,45888
2116,45216
2117,44736
2118,44148
2119,43792
2120,43852
2121,43696
2122,43324
2123,42892
2124,42076
2125,41868
2126,42008
2127,42168
2128,42152
2129,41940
2130,41932
2131,41956
2132,41992
2133,41736
2134,41668
2135,41344
2136,41588
2137,41680
2138,41908
2139,42188
2140,42924
2141,43216
2142,44020
2143,44772
2144,45740
2145,46988
2146,47988
2147,48832
2148,49624
2149,50140
2150,51072
2151,51756
2152,52220
2153,53072
2154,53628
2155,53988
2156,54748
2157,55336
2158,55752
2159,55976
2160,56160
2161,56036
2162,55772
2163,55524
2164,55044
2165,54468
2166,54036
2167,53616
2168,53400
2169,53016
2170,52828
2171,52752
2172,52900
2173,52624
2174,52416
2175,52276
2176,52680
2177,52792
2178,53168
2179,53692
2180,55136
2181,56104
2182,57116
2183,57988
2184,58764
2185,58516
2186,58324
2187,57524
2188,57248
2189,56308
2190,55708
2191,55296
2192,54868
2193,54312
2194,53140
2195,52716
2196,52672
2197,52196
2198,52044
2199,51832
2200,52272
2201,51912
2202,51440
2203,51036
2204,50248
2205,49644
2206,48984
2207,48280
2208,48132
2209,47484
2210,47128
2211,46856
2212,46608
2213,46248
2214,45976
2215,45780
2216,45576
2217,45556
2218,44784
2219,44984
2220,45312
2221,45144
2222,45228
2223,45308
2224,46432
2225,46644
2226,47664
2227,48300
2228,49900
2229,50612
2230,52044
2231,53396
2232,56028
2233,58428
2234,60284
2235,61976
2236,63384
2237,64344
2238,65484
2239,66292
2240,67316
2241,67592
2242,67860
2243,68152
2244,68112
2245,68220
2246,68096
2247,68548
2248,68468
2249,68772
2250,68748
2251,68944
2252,69324
2253,69548
2254,69768
2255,70256
2256,69984
2257,69988
2258,70264
2259,70144
2260,70260
2261,69748
2262,68832
2263,68892
2264,68500
2265,68332
2266,68056
2267,67456
2268,67568
2269,66952
2270,66716
2271,66324
2272,66068
2273,65696
2274,66208
2275,66580
2276,66864
2277,67804
2278,68936
2279,69304
2280,68932
2281,68640
2282,68692
2283,68628
2284,67740
2285,67228
2286,66812
2287,66284
2288,65392
2289,64280
2290,63396
2291,63004
2292,62328
2293,61364
2294,60980
2295,60108
2296,59924
2297,59756
2298,58392
2299,57560
2300,56312
2301,55848
2302,54560
2303,53296
2304,52396
2305,51896
2306,51472
2307,50920
2308,50092
2309,49928
2310,49592
2311,49448
2312,49312
2313,49216
2314,49504
2315,49396
2316,49832
2317,49620
2318,49892
2319,50028
2320,50560
2321,50868
2322,51168
2323,51804
2324,52948
2325,53568
2326,54532
2327,56084
2328,58396
2329,60360
2330,62316
2331,63800
2332,65052
2333,66400
2334,67228
2335,68212
2336,68772
2337,69236
2338,69456
2339,69368
2340,68860
2341,68468
2342,68788
2343,68828
2344,68956
2345,69300
2346,69628
2347,69788
2348,69952
2349,70452
2350,70792
2351,71004
2352,70812
2353,70580
2354,70516
2355,70524
2356,70480
2357,69776
2358,68948
2359,68792
2360,68540
2361,68372
2362,68220
2363,68000
2364,68144
2365,67792
2366,67264
2367,66932
2368,66960
2369,66868
2370,66984
2371,67680
2372,68668
2373,69340
2374,69908
2375,70508
2376,70380
2377,70084
2378,70056
2379,70020
2380,69528
2381,68876
2382,68200
2383,67580
2384,66204
2385,65360
2386,64424
2387,63772
2388,62976
2389,62356
2390,61668
2391,60976
2392,60996
2393,60488
2394,59528
2395,58324
2396,57540
2397,56672
2398,55876
2399,54916
2400,53468
2401,53032
2402,52560
2403,51968
2404,51144
2405,50576
2406,50604
2407,50320
2408,50136
2409,50068
2410,49852
2411,50292
2412,50576
2413,50792
2414,51012
2415,51280
2416,51584
2417,51940
2418,52412
2419,52740
2420,53808
2421,54648
2422,55596
2423,57364
2424,60160
2425,62292
2426,64180
2427,65676
2428,66816
2429,68080
2430,69172
2431,69788
2432,70760
2433,71316
2434,71840
2435,71708
2436,71420
2437,72012
2438,72176
2439,72160
2440,72088
2441,72464
2442,72920
2443,73540
2444,73520
2445,73840
2446,74004
2447,74196
2448,73872
2449,73640
2450,73556
2451,73680
2452,73456
2453,73236
2454,73152
2455,72940
2456,72252
2457,71916
2458,71504
2459,71380
2460,71468
2461,71136
2462,71720
2463,71432
2464,70544
2465,70192
2466,70048
2467,70408
2468,71412
2469,72048
2470,72572
2471,72792
2472,72744
2473,72208
2474,72340
2475,71996
2476,71944
2477,71356
2478,70808
2479,69992
2480,68468
2481,67400
2482,66276
2483,65068
2484,63848
2485,63744
2486,63400
2487,62264
2488,61652
2489,61072
2490,60440
2491,59624
2492,59140
2493,58328
2494,57280
2495,56344
