hour,DH_DE_Berlin,DH_DE_Dresden,DH_DE_Gelsenkirchen,DH_DE_Hamburg,DH_DE_Mannheim,DH_DE_Muenchen,DH_DE_Rem,DH_DE_Ind,DH_DE_Neckar,DH_DE_Nuernberg,DH_DE_Ruhr,DH_DE_Saar
t1314," 2,036.73 ", 283.36 , 384.87 , 807.19 , 481.90 , 890.44 ," 11,688.84 "," 11,169.70 ", 378.29 , 217.98 , 458.05 , 198.42 
t1315," 2,040.49 ", 284.43 , 386.55 , 808.66 , 483.03 , 892.73 ," 11,710.78 "," 11,492.92 ", 380.88 , 218.53 , 460.04 , 199.50 
t1316," 2,027.55 ", 282.62 , 385.43 , 803.52 , 480.39 , 887.10 ," 11,636.69 "," 11,763.62 ", 379.60 , 217.15 , 458.75 , 198.70 
t1317," 1,993.75 ", 277.69 , 379.77 , 790.12 , 473.15 , 873.07 ," 11,442.78 "," 11,775.49 ", 373.73 , 213.71 , 452.04 , 195.75 
t1318," 1,981.69 ", 275.39 , 377.98 , 785.34 , 471.73 , 867.62 ," 11,373.56 "," 11,880.27 ", 371.53 , 212.38 , 449.93 , 194.89 
t1319," 1,960.00 ", 271.84 , 374.41 , 776.75 , 467.91 , 859.38 ," 11,249.02 "," 11,615.68 ", 367.76 , 210.37 , 445.72 , 192.81 
t1320," 1,957.71 ", 271.26 , 374.29 , 775.84 , 468.33 , 859.23 ," 11,235.79 "," 11,561.94 ", 367.97 , 210.34 , 445.61 , 192.59 
t1321," 1,960.18 ", 272.13 , 375.51 , 776.82 , 471.25 , 862.28 ," 11,250.08 "," 11,542.35 ", 369.67 , 211.09 , 447.09 , 192.95 
t1322," 1,973.32 ", 274.14 , 378.03 , 782.03 , 475.70 , 868.73 ," 11,325.41 "," 11,620.39 ", 372.16 , 212.67 , 450.10 , 194.12 
t1323," 1,993.38 ", 277.23 , 382.56 , 789.98 , 482.90 , 877.13 ," 11,440.56 "," 11,839.78 ", 375.72 , 214.73 , 455.53 , 196.11 
t1324," 2,042.73 ", 284.15 , 392.29 , 809.54 , 497.08 , 896.76 ," 11,723.75 "," 12,910.64 ", 384.44 , 219.53 , 467.13 , 200.75 
t1325," 2,112.25 ", 294.17 , 405.90 , 837.10 , 515.37 , 925.46 ," 12,122.61 "," 14,012.24 ", 396.87 , 226.55 , 483.37 , 207.59 
t1326," 2,190.13 ", 305.58 , 421.19 , 867.96 , 535.92 , 959.83 ," 12,569.62 "," 14,805.17 ", 410.80 , 234.96 , 501.59 , 215.28 
t1327," 2,238.42 ", 312.41 , 430.88 , 887.10 , 549.86 , 980.88 ," 12,846.70 "," 14,964.14 ", 419.70 , 240.12 , 513.16 , 220.05 
t1328," 2,268.85 ", 316.75 , 437.15 , 899.16 , 558.68 , 993.66 ," 13,021.38 "," 14,608.48 ", 425.30 , 243.24 , 520.65 , 223.25 
t1329," 2,257.44 ", 315.59 , 434.21 , 894.64 , 556.08 , 989.67 ," 12,955.94 "," 13,926.66 ", 422.33 , 242.27 , 517.11 , 222.41 
t1330," 2,218.13 ", 311.08 , 426.31 , 879.04 , 546.45 , 974.75 ," 12,730.55 "," 13,324.53 ", 414.75 , 238.62 , 507.63 , 219.38 
t1331," 2,157.30 ", 303.91 , 414.12 , 854.91 , 531.08 , 950.30 ," 12,381.70 "," 12,571.03 ", 403.19 , 232.63 , 493.05 , 214.20 
t1332," 2,094.67 ", 296.78 , 401.70 , 830.07 , 514.96 , 924.09 ," 12,022.61 "," 11,934.27 ", 391.68 , 226.21 , 478.18 , 208.67 
t1333," 2,030.44 ", 289.19 , 389.07 , 804.60 , 498.68 , 898.18 ," 11,654.31 "," 11,501.55 ", 379.86 , 219.87 , 463.06 , 202.78 
t1334," 2,019.88 ", 288.81 , 386.85 , 800.39 , 495.17 , 897.19 ," 11,594.02 "," 11,170.17 ", 377.78 , 219.63 , 460.34 , 201.75 
t1335," 1,978.57 ", 283.74 , 380.36 , 783.99 , 485.31 , 882.68 ," 11,357.34 "," 10,850.64 ", 370.73 , 216.08 , 452.61 , 198.06 
t1336," 1,972.54 ", 283.89 , 380.44 , 781.58 , 484.50 , 881.95 ," 11,323.15 "," 10,733.12 ", 370.47 , 215.90 , 452.70 , 197.71 
t1337," 1,983.19 ", 286.24 , 383.44 , 785.77 , 487.88 , 890.05 ," 11,384.63 "," 10,778.75 ", 373.26 , 217.88 , 456.26 , 199.06 
t1338," 1,974.31 ", 286.03 , 382.43 , 782.23 , 487.02 , 890.29 ," 11,334.07 "," 10,979.28 ", 372.56 , 217.94 , 455.02 , 198.55 
t1339," 1,976.80 ", 287.45 , 383.99 , 783.19 , 489.29 , 896.47 ," 11,348.72 "," 11,293.59 ", 374.63 , 219.46 , 456.86 , 198.97 
t1340," 1,961.81 ", 286.04 , 381.48 , 777.23 , 486.84 , 894.55 ," 11,262.98 "," 11,551.84 ", 374.14 , 219.00 , 453.84 , 197.25 
t1341," 1,924.60 ", 281.90 , 375.23 , 762.46 , 478.65 , 884.07 ," 11,049.73 "," 11,548.83 ", 369.31 , 216.45 , 446.39 , 193.65 
t1342," 1,905.68 ", 281.27 , 372.74 , 754.94 , 474.30 , 880.96 ," 10,941.49 "," 11,627.35 ", 368.39 , 215.70 , 443.43 , 191.94 
