hour,21,22,23,24,25,26,41,42,71,72,73,74,75,76,81,82,83,84
t0131,0.017,0.022,0.022,0.072,0.125,0.125,0.250,0.250,0.117,0.117,0.117,0.117,0.117,0.117,0.094,0.094,0.094,0.094
t0132,0.028,0.040,0.040,0.096,0.187,0.187,0.323,0.323,0.171,0.171,0.171,0.171,0.171,0.171,0.133,0.133,0.133,0.133
t0133,0.029,0.058,0.058,0.108,0.221,0.221,0.319,0.319,0.186,0.186,0.186,0.186,0.186,0.186,0.142,0.142,0.142,0.142
t0134,0.028,0.061,0.061,0.094,0.205,0.205,0.246,0.246,0.173,0.173,0.173,0.173,0.173,0.173,0.115,0.115,0.115,0.115
t0135,0.020,0.045,0.045,0.065,0.134,0.134,0.147,0.147,0.106,0.106,0.106,0.106,0.106,0.106,0.067,0.067,0.067,0.067
t0136,0.007,0.019,0.019,0.029,0.054,0.054,0.064,0.064,0.043,0.043,0.043,0.043,0.043,0.043,0.018,0.018,0.018,0.018
t0137,0.001,0.003,0.003,0.004,0.005,0.005,0.010,0.010,0.004,0.004,0.004,0.004,0.004,0.004,0.001,0.001,0.001,0.001
t0138,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0139,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0140,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0141,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0142,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0143,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0144,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0145,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0146,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0147,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0148,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0149,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0150,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0151,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0152,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000,0.000
t0153,0.000,0.000,0.000,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.001,0.002,0.002,0.002,0.002
t0154,0.043,0.028,0.028,0.012,0.011,0.011,0.015,0.015,0.019,0.019,0.019,0.019,0.019,0.019,0.009,0.009,0.009,0.009
t0155,0.133,0.085,0.085,0.042,0.024,0.024,0.050,0.050,0.056,0.056,0.056,0.056,0.056,0.056,0.026,0.026,0.026,0.026
t0156,0.203,0.131,0.131,0.084,0.035,0.035,0.084,0.084,0.099,0.099,0.099,0.099,0.099,0.099,0.052,0.052,0.052,0.052
